time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772058766,252,78,26,2,0,0,24.49210938,173817,53.34305492,1008.0198,43.63627731
1772058767,288,88,30,2,0,0,24.50890625,174678,53.24088464,1008.016797,43.66137929
1772058768,288,88,30,2,0,0,24.52492188,174678,53.13866144,1008.019916,43.63530519
1772058769,288,88,30,2,0,0,24.53546875,174851,53.01620644,1008.005252,43.75790911
1772058770,258,78,26,2,0,0,24.54054688,175898,52.90612499,1008.016907,43.66046231
1772058771,258,78,26,2,0,0,24.53878906,175898,52.77566859,1008.010469,43.71428468
1772058772,258,78,26,2,0,0,24.53253906,176780,52.65121089,1008.009835,43.71958388
1772058773,240,72,20,0,0,0,24.52726563,177136,52.53996828,1008.003386,43.77350696
1772058774,240,72,20,0,0,0,24.50714844,177671,52.41383432,1008.01036,43.71520111
1772058775,240,72,20,0,0,0,24.49972656,177671,52.30894654,1008.002371,43.78199322
1772058776,246,76,20,0,0,0,24.49621094,178030,52.26304186,1007.995008,43.84354882
1772058777,246,76,20,0,0,0,24.49074219,178391,52.20391356,1007.990089,43.88467925
1772058778,246,76,20,0,0,0,24.483125,178571,52.13803527,1007.992818,43.86186441
1772058779,264,78,22,0,0,0,24.47140625,179298,52.09757784,1007.994613,43.84685901
1772058780,264,78,22,0,0,0,24.46710938,178934,52.05162512,1008.004396,43.76506048
1772058781,264,78,22,0,0,0,24.46105469,179298,52.02489786,1008.015092,43.67563852
1772058782,258,74,20,0,0,0,24.46046875,180031,51.97945242,1008.008659,43.72942287
1772058783,258,74,20,0,0,0,24.44972656,187842,51.95211992,1008.019336,43.6401527
1772058784,258,74,20,0,0,0,24.44660156,180031,51.91283719,1008.027286,43.57368694
1772058785,240,68,18,0,0,0,24.44269531,179298,51.89289114,1008.037682,43.48676648
1772058786,240,68,18,0,0,0,24.43605469,180031,51.85963586,1008.036432,43.49722246
1772058787,240,68,18,0,0,0,24.43195313,187435,51.85909729,1008.046521,43.41287256
1772058788,240,66,16,0,0,0,24.42824219,179481,51.85861002,1008.0462,43.41555475
