time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772062418.908426,0,0,0,0,0,0,252,66,9,2,0,0,23.7622265625,191474,54.644061829107905,1009.1471566277796,34.215110650184414
1772062420.9202096,0,0,0,0,0,0,252,66,9,2,0,0,23.7673046875,190422,54.670722016923385,1009.1663270091153,34.054980135050315
1772062422.9320185,0,0,0,0,0,0,252,66,9,2,0,0,23.76984375,190527,54.68405364248493,1009.1704473540791,34.02056314640454
1772062424.9450717,0,0,0,0,0,0,246,64,8,2,0,0,23.77296875,192005,54.67798529853359,1009.1773402015981,33.96298786842743
1772062426.9580748,0,0,0,0,0,0,246,64,8,2,0,0,23.776484375,191368,54.62003290096773,1009.1775803419393,33.96098200549587
1772062428.9710705,0,0,0,0,0,0,246,64,8,2,0,0,23.7790234375,192218,54.561965109676876,1009.1489107178096,34.20045860452577
1772062430.9841638,0,0,0,0,0,0,225,57,8,2,0,0,23.7815625,193830,54.523377775468006,1009.1366358949078,34.302991554171996
1772062432.997217,0,1,1,0,1,1,225,57,8,2,0,0,23.784296875,191898,54.48482454993716,1009.121034526279,34.43331296464859
1772062435.0099633,0,1,1,0,1,1,225,57,8,2,0,0,23.788203125,192967,54.44643778162662,1009.112799601393,34.502101627657034
1772062437.0229573,0,1,1,0,1,1,237,59,9,2,0,0,23.7919140625,193074,54.38858052057131,1009.1315730699462,34.34528218367571
1772062439.0360503,0,1,1,0,1,1,237,59,9,2,0,0,23.7954296875,194156,54.376090148169006,1009.1536731881156,34.16067743665329
1772062441.0491278,0,0,0,0,0,0,237,59,9,2,0,0,23.799921875,192752,54.350767804755904,1009.1682495853373,34.03892095968444
1772062443.0616317,0,0,0,0,0,0,207,47,6,1,0,0,23.8034375,193182,54.35772623490001,1009.1775979307449,33.96083508836711
1772062445.0734015,0,0,0,0,0,0,207,47,6,1,0,0,23.8065625,192967,54.34518474702455,1009.1535210805993,34.16194799648221
1772062447.085177,0,0,0,0,0,0,207,47,6,1,0,0,23.811640625,192645,54.41070517817619,1009.1362566984457,34.306159040126914
1772062449.0981946,0,0,0,0,0,0,207,49,6,1,0,0,23.8153515625,192752,54.43714765214646,1009.1258823526391,34.39281790875843
1772062451.1099725,0,0,0,0,0,0,207,49,6,1,0,0,23.8159375,193506,54.40480319594322,1009.1122589788848,34.50661761669247
1772062453.1223602,0,0,0,0,0,0,207,49,6,1,0,0,23.8153515625,195470,54.28804378798552,1009.1076647093405,34.544995067311255
1772062455.1353505,0,0,0,0,0,0,165,39,5,1,0,0,23.8169140625,194483,54.1392681927333,1009.1120217801954,34.508599012205316
1772062457.1480892,0,0,0,0,0,0,165,39,5,1,0,0,23.819453125,195140,54.02309375413538,1009.143468304518,34.245919558454155
1772062459.1611578,0,0,0,0,0,0,165,39,5,1,0,0,23.82296875,194701,53.97827449466345,1009.1637472096768,34.07652909937666
1772062461.1743321,0,0,0,0,0,0,159,39,5,1,0,0,23.8251171875,195802,54.010915214015355,1009.1708769982079,34.01697436191368
1772062463.1873496,0,0,0,0,0,0,159,39,5,1,0,0,23.8266796875,194156,54.037010908810494,1009.1861650221382,33.88927547444624
1772062465.2004004,0,0,0,0,0,0,159,39,5,1,0,0,23.829609375,194374,54.07624044802617,1009.196384438846,33.803914881310995
1772062467.2134812,0,0,0,0,0,0,171,43,8,2,0,0,23.8317578125,192431,54.15422359662696,1009.1962270925073,33.80522915618734
1772062469.2266874,0,0,0,0,0,0,171,43,8,2,0,0,23.835078125,191898,54.29719359956549,1009.201614970032,33.76022564836145
1772062471.238027,0,0,0,0,0,0,171,43,8,2,0,0,23.8376171875,190422,54.511521826727716,1009.2057351160587,33.725811295798614
1772062473.2513015,0,0,0,0,0,0,147,41,6,1,0,0,23.8409375,190737,54.758679752616175,1009.2056574827812,33.72645974239154
1772062475.2643473,0,0,1,0,0,1,147,41,6,1,0,0,23.8434765625,190318,54.92801059495832,1009.2024902245186,33.7529148988184
1772062477.2773037,0,0,1,0,0,1,147,41,6,1,0,0,23.8458203125,190318,55.05191498247091,1009.2044715460364,33.73636550774138
1772062479.2890458,0,0,1,0,0,1,132,36,5,1,0,0,23.84796875,190842,55.24099271152576,1009.2134233689857,33.6615939132633
1772062481.3008504,0,0,1,0,0,1,132,36,5,1,0,0,23.8493359375,189589,55.43015104661112,1009.2247512239394,33.56697688485091
1772062483.3139946,0,0,1,0,0,1,132,36,5,1,0,0,23.847578125,191474,55.5733904608794,1009.2255425229288,33.56036751394402
1772062485.3269944,0,0,1,0,0,1,126,34,5,1,0,0,23.846796875,192005,55.54066411094384,1009.2315622089435,33.510087873197506
