time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772061296.9734507,0,0,0,0,0,0,180,41,3,1,0,0,18.4243359375,191157,68.5856560508738,1008.5307002861051,39.365694304967874
1772061298.9866385,0,1,1,0,1,1,222,51,3,1,0,0,18.3551953125,192859,68.92810329941292,1008.5117872167959,39.52375608800506
1772061300.9979806,0,1,1,0,1,1,222,51,3,1,0,0,18.2852734375,193506,69.22237624168189,1008.4879692147712,39.7228131731534
1772061303.0101652,0,1,1,0,1,1,222,51,3,1,0,0,18.2305859375,193830,69.52631824332869,1008.4871982481692,39.729256529707484
1772061305.0231202,0,1,1,0,1,1,240,59,3,1,0,0,18.1856640625,195140,69.80435203522242,1008.4842976706982,39.75349815359843
1772061307.0348551,0,1,1,0,1,1,240,59,3,1,0,0,18.148359375,194811,70.02124071711062,1008.4938246396778,39.6738765655512
1772061309.046551,0,1,1,0,1,1,240,59,3,1,0,0,18.1173046875,196468,70.21143230288735,1008.4936854050761,39.675040213540115
1772061311.0595534,1,1,1,1,1,1,270,74,3,1,0,0,18.09640625,197026,70.38941394722696,1008.5119303431645,39.52255993210471
1772061313.07261,1,1,1,1,1,1,270,74,3,1,0,0,18.081171875,197363,70.56143864196844,1008.5087242679267,39.54935422983744
1772061315.085672,1,1,1,1,1,1,270,74,3,1,0,0,18.06203125,196802,70.71203462058519,1008.5135840650915,39.50873922362221
1772061317.0990927,1,1,1,1,1,1,345,89,9,0,0,0,18.043671875,197926,70.75107368011192,1008.5179120709697,39.47256871457654
1772061319.1115024,1,1,1,1,1,1,345,89,9,0,0,0,18.0274609375,198266,70.77648359658544,1008.5076913623659,39.55798659937403
1772061321.124465,1,1,1,1,1,1,345,89,9,0,0,0,18.0106640625,199063,70.79481905727853,1008.5145679470571,39.50051660093781
1772061323.1374667,1,1,1,1,1,1,351,91,10,0,0,0,17.9993359375,199522,70.82798178420128,1008.5141243077239,39.50422423882829
1772061325.1504843,1,1,1,1,1,1,351,91,10,0,0,0,17.9872265625,199982,70.8819906980692,1008.5196259811961,39.45824506143811
1772061327.1634178,1,1,1,1,1,1,351,91,10,0,0,0,17.97453125,201611,70.9219412882653,1008.5151430909665,39.4957099385938
1772061329.1763418,1,2,2,1,2,2,426,110,12,0,0,0,17.9628125,201728,70.9480703166855,1008.4887850130075,39.715995140374915
1772061331.189252,1,2,2,1,2,2,426,110,12,0,0,0,17.9587109375,201728,71.02433438721575,1008.4838925545887,39.75688392263331
1772061333.2010055,1,2,2,1,2,2,426,110,12,0,0,0,17.9596875,201026,71.10141871712635,1008.4836819381512,39.75864415574702
1772061335.21271,2,2,2,2,2,2,474,122,19,0,0,0,17.949921875,201728,71.14886118314934,1008.4857878834939,39.74104366861241
1772061337.2247205,2,2,2,2,2,2,474,122,19,0,0,0,17.944453125,202910,71.17599293828908,1008.4949102606433,39.664803533276505
1772061339.2417676,2,2,2,2,2,2,474,122,19,0,0,0,17.93703125,202672,71.1748314381735,1008.5044533265574,39.5850480952786
1772061341.25483,2,3,3,2,3,3,504,130,19,0,0,0,17.93,203267,71.18772589486377,1008.5164391036371,39.484878752658176
1772061343.2677894,2,3,3,2,3,3,504,130,19,0,0,0,17.9243359375,203386,71.20783308585395,1008.5234362639296,39.42640147571925
1772061345.2807596,2,3,3,2,3,3,504,130,19,0,0,0,17.916328125,203625,71.22057641135744,1008.5211898724541,39.44517517825292
1772061347.29377,2,3,3,2,3,3,534,140,20,0,0,0,17.906953125,205071,71.24710461949125,1008.5239311805962,39.422265327521956
