timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776901197.9602542,3.0,0.0,4.0,0.0,4.0,0.0
1776901201.9575021,3.0,0.0,4.0,0.0,4.0,0.0
1776901206.0042083,3.0,0.0,4.0,0.0,4.0,0.0
1776901210.0125864,3.0,0.0,4.0,0.0,4.0,0.0
1776901214.0362473,3.0,0.0,4.0,0.0,4.0,0.0
1776901218.0361848,3.0,0.0,4.0,0.0,4.0,0.0
1776901222.0394669,3.0,0.0,4.0,0.0,4.0,0.0
1776901226.0328414,3.0,0.0,4.0,0.0,4.5,0.5
1776901230.0796385,3.0,0.0,4.0,0.0,5.0,0.0
1776901234.0635476,3.0,0.0,5.0,0.0,6.0,0.0
1776901238.075923,3.5,0.5,5.0,0.0,6.0,0.0
1776901242.124641,4.0,0.0,5.0,0.0,6.0,0.0
1776901246.1036222,3.0,0.0,5.0,0.0,5.0,0.0
1776901250.1067476,3.0,0.0,5.0,0.0,5.5,0.5
1776901254.1519516,3.0,0.0,5.0,0.0,6.0,0.0
1776901258.1584191,3.0,0.0,5.0,0.0,6.0,0.0
1776901262.1590064,3.5,0.5,5.5,0.5,6.5,0.5
1776901266.1926842,4.0,0.0,6.0,0.0,7.0,0.0
1776901270.159391,3.0,0.0,6.0,0.0,7.0,0.0
1776901274.1644833,3.0,0.0,5.5,0.5,7.0,0.0
1776901278.1899896,3.0,0.0,5.0,0.0,7.0,0.0
1776901282.2014854,4.0,0.0,6.0,0.0,7.0,0.0
1776901286.2204227,3.5,0.5,6.0,0.0,6.5,0.5
1776901290.2204757,3.0,0.0,6.0,0.0,6.0,0.0
1776901294.2275755,3.0,0.0,5.0,0.0,5.0,0.0
1776901298.2495408,3.0,0.0,5.5,0.5,5.5,0.5
1776901302.239267,3.0,0.0,6.0,0.0,6.0,0.0
1776901306.2965991,3.0,0.0,6.0,0.0,7.0,0.0
1776901310.2984014,3.0,0.0,6.0,0.0,6.5,0.5
1776901314.311896,3.0,0.0,6.0,0.0,6.0,0.0
1776901318.2984207,4.0,0.0,6.0,0.0,6.0,0.0
1776901322.32088,3.5,0.5,5.5,0.5,5.5,0.5
1776901326.342579,3.0,0.0,5.0,0.0,5.0,0.0
1776901330.3268623,3.0,0.0,5.0,0.0,5.0,0.0
1776901334.3837695,3.0,0.0,5.0,0.0,5.5,0.5
1776901338.3561587,3.0,0.0,5.0,0.0,6.0,0.0
1776901342.3774571,3.0,0.0,5.0,0.0,6.0,0.0
1776901346.4182644,3.0,0.0,5.0,0.0,6.0,0.0
1776901350.4112496,3.0,0.0,5.0,0.0,6.0,0.0
1776901354.4253905,3.0,0.0,5.0,0.0,5.0,0.0
1776901358.4360933,3.0,0.0,4.5,0.5,5.0,0.0
1776901362.4382455,3.0,0.0,4.0,0.0,5.0,0.0
1776901366.4604197,2.0,0.0,4.0,0.0,4.0,0.0
1776901370.4645252,2.0,0.0,4.0,0.0,4.0,0.0
1776901374.4598699,2.0,0.0,4.0,0.0,4.0,0.0
1776901378.4700425,2.0,0.0,3.0,0.0,4.0,0.0
1776901382.4893737,2.0,0.0,3.0,0.0,4.0,0.0
1776901386.5404587,2.0,0.0,3.0,0.0,4.0,0.0
1776901390.5582469,2.0,0.0,3.0,0.0,5.0,0.0
1776901394.5710435,1.5,0.5,3.0,0.0,4.5,0.5
1776901398.5766668,1.0,0.0,3.0,0.0,4.0,0.0
1776901402.586568,1.0,0.0,3.0,0.0,4.0,0.0
1776901406.5842562,1.0,0.0,3.0,0.0,4.0,0.0
1776901410.5793412,1.0,0.0,3.0,0.0,4.0,0.0
1776901414.627225,2.0,0.0,3.0,0.0,5.0,0.0
1776901418.6297853,2.0,0.0,3.0,0.0,4.5,0.5
1776901422.6132567,2.0,0.0,3.0,0.0,4.0,0.0
1776901426.6590114,2.0,0.0,4.0,0.0,5.0,0.0
1776901430.6781368,2.0,0.0,4.0,0.0,5.0,0.0
1776901434.6444724,2.0,0.0,4.0,0.0,5.0,0.0
1776901438.699846,2.0,0.0,4.0,0.0,5.0,0.0
1776901442.716365,2.0,0.0,4.0,0.0,5.0,0.0
1776901446.732277,2.0,0.0,4.0,0.0,5.0,0.0
1776901450.7173576,2.0,0.0,4.0,0.0,4.0,0.0
1776901454.7358909,2.5,0.5,4.0,0.0,4.5,0.5
1776901458.7523003,3.0,0.0,4.0,0.0,5.0,0.0
1776901462.7452357,3.0,0.0,4.0,0.0,4.0,0.0
1776901466.7634442,2.5,0.5,4.0,0.0,4.0,0.0
1776901470.7585707,2.0,0.0,4.0,0.0,4.0,0.0
1776901474.811313,2.0,0.0,4.0,0.0,4.0,0.0
1776901478.7840903,2.0,0.0,4.0,0.0,4.0,0.0
1776901482.8425398,2.0,0.0,4.0,0.0,4.0,0.0
1776901486.8497877,2.0,0.0,4.0,0.0,4.0,0.0
1776901490.8287077,2.5,0.5,4.0,0.0,4.0,0.0
1776901494.8393269,3.0,0.0,4.0,0.0,4.0,0.0
1776901498.8611374,3.0,0.0,4.0,0.0,4.0,0.0
1776901502.8523054,3.0,0.0,4.5,0.5,4.5,0.5
1776901506.8610642,3.0,0.0,5.0,0.0,5.0,0.0
1776901510.9122424,3.0,0.0,5.0,0.0,5.0,0.0
1776901514.8996367,3.0,0.0,5.0,0.0,5.0,0.0
1776901518.9057968,3.0,0.0,5.0,0.0,5.0,0.0
1776901522.9502144,3.0,0.0,5.0,0.0,5.0,0.0
1776901526.9396152,3.0,0.0,5.0,0.0,5.0,0.0
1776901530.9290304,3.0,0.0,5.0,0.0,5.0,0.0
1776901534.9332874,3.0,0.0,5.0,0.0,5.0,0.0
1776901538.9703348,3.0,0.0,5.0,0.0,5.0,0.0
1776901542.980638,3.0,0.0,5.0,0.0,5.0,0.0
1776901546.9861372,3.0,0.0,5.0,0.0,5.0,0.0
1776901551.0080674,3.0,0.0,5.5,0.5,5.5,0.5
1776901555.0070477,3.0,0.0,6.0,0.0,6.0,0.0
1776901559.0288877,3.0,0.0,6.0,0.0,6.0,0.0
1776901563.0573964,3.0,0.0,6.0,0.0,6.0,0.0
1776901567.0592334,3.0,0.0,6.0,0.0,6.0,0.0
1776901571.0794566,2.0,0.0,5.0,0.0,6.0,0.0
1776901575.0831401,2.5,0.5,5.0,0.0,6.5,0.5
1776901579.1337185,3.0,0.0,5.0,0.0,7.0,0.0
1776901583.14498,3.0,0.0,6.0,0.0,7.0,0.0
1776901587.1610804,3.0,0.0,5.5,0.5,6.5,0.5
1776901591.147687,3.0,0.0,5.0,0.0,6.0,0.0
1776901595.1605835,3.0,0.0,5.0,0.0,6.0,0.0
1776901599.1644826,3.0,0.0,5.0,0.0,6.0,0.0
1776901603.1781375,3.0,0.0,5.0,0.0,6.0,0.0
1776901607.1811619,2.0,0.0,5.0,0.0,6.0,0.0
1776901611.1797545,2.0,0.0,4.5,0.5,5.5,0.5
1776901615.2002661,2.0,0.0,4.0,0.0,5.0,0.0
1776901619.1960208,2.0,0.0,4.0,0.0,5.0,0.0
1776901623.2190645,2.0,0.0,4.0,0.0,5.0,0.0
1776901627.248721,2.0,0.0,4.0,0.0,5.0,0.0
1776901631.2349586,3.0,0.0,4.0,0.0,5.0,0.0
1776901635.2493908,3.0,0.0,4.0,0.0,5.0,0.0
1776901639.2773669,3.0,0.0,4.0,0.0,5.0,0.0
1776901643.271207,3.0,0.0,4.0,0.0,4.0,0.0
1776901647.2783964,3.0,0.0,4.0,0.0,4.5,0.5
1776901651.3270082,3.0,0.0,4.0,0.0,5.0,0.0
1776901655.313781,3.0,0.0,4.0,0.0,5.0,0.0
1776901659.3337193,3.0,0.0,4.0,0.0,5.0,0.0
1776901663.3713892,3.0,0.0,4.0,0.0,5.0,0.0
1776901667.3640785,3.0,0.0,5.0,0.0,6.0,0.0
1776901671.352334,3.0,0.0,4.5,0.5,5.5,0.5
1776901675.3775134,3.0,0.0,4.0,0.0,5.0,0.0
1776901679.366707,3.0,0.0,5.0,0.0,6.0,0.0
1776901683.3874004,3.0,0.0,5.0,0.0,6.0,0.0
1776901687.40753,3.0,0.0,5.0,0.0,6.0,0.0
1776901691.461689,3.0,0.0,5.0,0.0,6.0,0.0
1776901695.444516,2.5,0.5,4.5,0.5,5.5,0.5
1776901699.44969,2.0,0.0,4.0,0.0,5.0,0.0
1776901703.4849603,2.0,0.0,4.0,0.0,5.0,0.0
1776901707.4835966,2.0,0.0,4.0,0.0,5.0,0.0
1776901711.530946,2.0,0.0,4.0,0.0,5.0,0.0
1776901715.5303173,2.0,0.0,4.0,0.0,5.0,0.0
1776901719.5265574,2.0,0.0,4.5,0.5,5.0,0.0
1776901723.5989993,2.0,0.0,5.0,0.0,5.0,0.0
1776901727.5817597,2.0,0.0,4.0,0.0,4.0,0.0
1776901731.6366024,2.0,0.0,4.5,0.5,4.5,0.5
1776901735.6470745,2.0,0.0,5.0,0.0,5.0,0.0
1776901739.6955812,2.0,0.0,4.0,0.0,4.0,0.0
1776901743.6974666,2.0,0.0,4.0,0.0,4.0,0.0
1776901747.707717,2.0,0.0,4.0,0.0,4.0,0.0
1776901751.7066822,2.0,0.0,4.0,0.0,4.0,0.0
1776901755.7350423,2.0,0.0,4.0,0.0,4.0,0.0
1776901759.733166,2.0,0.0,4.0,0.0,4.0,0.0
1776901763.788989,3.0,0.0,4.0,0.0,4.0,0.0
1776901767.8017678,3.0,0.0,4.5,0.5,5.5,1.5
1776901771.795749,3.0,0.0,5.0,0.0,7.0,0.0
1776901775.7776453,3.0,0.0,5.0,0.0,8.0,0.0
1776901779.8113425,3.0,0.0,5.0,0.0,7.5,0.5
1776901783.8325455,3.0,0.0,5.0,0.0,7.0,0.0
1776901787.8423898,3.0,0.0,5.0,0.0,7.0,0.0
1776901791.8444173,3.0,0.0,5.0,0.0,7.0,0.0
1776901795.856667,3.0,0.0,5.0,0.0,7.0,0.0
1776901799.854735,3.0,0.0,5.0,0.0,8.0,0.0
