timestamp,cps,cps_err,usv_hr
1776902203.716066,0.5,0.5,0.006267
1776902205.7398877,0.0,0.0,0.0
1776902207.7288465,2.0,1.0,0.025068
1776902209.7450204,0.0,0.0,0.0
1776902211.7706661,0.0,0.0,0.0
1776902213.7861345,1.5,0.8660254037844386,0.018801
1776902215.8089736,0.0,0.0,0.0
1776902217.7889605,0.5,0.5,0.006267
1776902219.8086424,0.0,0.0,0.0
1776902221.854739,0.0,0.0,0.0
1776902223.8294132,0.0,0.0,0.0
1776902225.8601403,0.0,0.0,0.0
1776902227.8692448,0.5,0.5,0.006267
1776902229.8974385,0.0,0.0,0.0
1776902231.9250822,0.0,0.0,0.0
1776902233.9037676,0.0,0.0,0.0
1776902235.921266,0.5,0.5,0.006267
1776902237.9464452,0.5,0.5,0.006267
1776902239.9697363,0.5,0.5,0.006267
1776902241.998861,0.0,0.0,0.0
1776902243.9734342,0.5,0.5,0.006267
1776902245.996499,0.0,0.0,0.0
1776902248.0188835,1.0,0.7071067811865476,0.012534
1776902250.0449834,0.5,0.5,0.006267
1776902252.027515,0.5,0.5,0.006267
1776902254.0669644,0.0,0.0,0.0
1776902256.087441,0.5,0.5,0.006267
1776902258.0738587,0.0,0.0,0.0
1776902260.106635,0.5,0.5,0.006267
1776902262.1372154,0.5,0.5,0.006267
1776902264.1086297,0.5,0.5,0.006267
1776902266.1342764,0.5,0.5,0.006267
1776902268.1576731,0.0,0.0,0.0
1776902270.1766694,0.0,0.0,0.0
1776902272.1572735,0.0,0.0,0.0
1776902274.1750503,0.0,0.0,0.0
1776902276.2104309,0.0,0.0,0.0
1776902278.2445488,0.5,0.5,0.006267
1776902280.2162075,0.0,0.0,0.0
1776902282.2492557,0.0,0.0,0.0
1776902284.2639096,0.5,0.5,0.006267
1776902286.2826717,0.0,0.0,0.0
1776902288.3183548,0.0,0.0,0.0
1776902290.2871919,0.0,0.0,0.0
1776902292.3118157,0.5,0.5,0.006267
